f;i
100;0.069
200;0.149
300;0.287
400;0.707
450;1.486
465;1.923
475;2.127
480;2.141
485;2.121
500;1.837
550;0.953
600;0.611
700;0.37
800;0.271
900;0.216
1000;0.182
1100;0.157
1200;0.139
1300;0.126
1400;0.114
1500;0.105
1600;0.96
1700;0.09
1800;0.083
1900;0.081
2000;0.077
