f;i
100;0.063
200;0.123
300;0.188
400;0.261
500;0.349
600;0.452
700;0.594
800;0.762
900;1.013
1000;1.325
1100;1.699
1150;1.857
1175;1.906
1200;1.936
1225;1.931
1250;1.907
1300;1.868
1350;1.723
1400;1.563
1500;1.324
1600;1.109
1700;0.948
1800;0.843
1900;0.749
2000;0.682
