t;v
10;9.99
20;8.37
30;6.86
40;5.79
50;4.74
60;4
70;3.24
80;2.73
90;2.08
100;1.86
110;1.56
120;1.29
130;1.07
140;0.905
150;0.752
160;0.626
170;0.516
180;0.432
190;0.357
200;0.299
210;0.247
220;0.205
230;0.171
240;0.142
250;0.118
260;0.097
270;0.081
280;0.066
290;0.056
300;0.046
