h1;h2;2n;t
52.5;85;11;8.19
52.5;84;11.5;8.31
52.5;84.9;11;8.4
52.5;84.2;11.5;7.97
52.5;85.5;11;7.84
52.5;84.5;11;8.25
52.5;85.7;11;8.03
52.5;84.6;11;8.34
52.5;85.5;10.5;8.06
52.5;85.3;11;8.12
