h1;h2;2n;t
52.5;81.3;10.5;15.62
52.5;80.8;10;15.56
52.5;80.9;10;15.5
52.5;80.8;10;15.5
52.5;81.4;11;15.46
52.5;81.1;10.5;15.47
52.5;80.9;11;15.69
52.5;80.9;11;15.66
52.5;80.7;11;15.91
52.5;79.7;11;15.62
